name,price_$,rating_out_of_5,item_url,reviews,img_url,brand_url,in_stock
"DEKOPRO 168 Piece Tool Set General Household and measure Tape Rule & Plastic Toolbox Storage Case Tool Kit with Rip Claw Hammer,Lineman's Plier",64.99,4.8,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06962366MBW83NWAHP4&url=%2FDEKOPRO-General-Household-measure-Linemans%2Fdp%2FB089LK8N3V%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtools%26qid%3D1606148516%26sr%3D8-1-spons%26psc%3D1&qualifier=1606148515&id=6370814081842935&widgetName=sp_atf,11,https://images-na.ssl-images-amazon.com/images/I/81FHwGluG9L._AC_SY355_.jpg,https://www.amazon.com//stores/DEKOPRO/page/2707240B-49C2-432C-B9EB-4116E161AC1C?ref_=ast_bln,In Stock.
"Cartman 148-Piece Tool Set - General Household Hand Tool Kit with Plastic Toolbox Storage Case, Socket & Socket Wrench Sets",27.99,4.6,https://www.amazon.com//CARTMAN-148-Piece-Tool-Set-Household/dp/B01NCJTSW7/ref=sr_1_2?dchild=1&keywords=tools&qid=1606148516&sr=8-2,4595,https://images-na.ssl-images-amazon.com/images/I/91JQZ%2BjOi4L._AC_SY355_.jpg,https://www.amazon.com//stores/CARTMAN/page/26E83FF1-C6F6-4C64-B3A2-078576C21C93?ref_=ast_bln,In Stock.
"Saker Contour Gauge (10 Inch Lock) Profile Tool- Adjustable Lock-Precisely Copy Irregular Shape Duplicator -Irregular Welding Woodworking Tracing - Must Have Tool for DIY Handyman, Construction",31.97,4.6,https://www.amazon.com//Saker-Adjustable-Precisely-Duplicator-Woodworking/dp/B083FBRJPM/ref=sr_1_3?dchild=1&keywords=tools&qid=1606148516&sr=8-3,4952,https://images-na.ssl-images-amazon.com/images/I/61AFyxhrqdL._AC_SY355_.jpg,https://www.amazon.com//stores/Saker/page/CDB18D7E-73EF-4883-B423-38BDD398F7D4?ref_=ast_bln,In Stock.
"BLACK+DECKER 20V MAX Drill & Home Tool Kit, 68 Piece (LDX120PK), Black/Orange",74.0,4.6,https://www.amazon.com//BLACK-DECKER-Drill-LDX120PK-Orange/dp/B00C625KVE/ref=sr_1_4?dchild=1&keywords=tools&qid=1606148516&sr=8-4,6716,https://images-na.ssl-images-amazon.com/images/I/61yrn8PjUML._AC_SY355_.jpg,https://www.amazon.com//stores/BLACK%2BDECKER/page/9CD42FC6-F544-4F9F-807D-D1B33889F479?ref_=ast_bln,In Stock.
"Desuccus 18-in-1 Snowflake Multi Tool, Stainless Steel Snowflake Bottle Opener/Flat Phillips Screwdriver Kit/Wrench, Durable and Portable to Take, Great Christmas gift(Standard, Stainless Steel)",9.99,4.4,https://www.amazon.com//Desuccus-Snowflake-Stainless-Screwdriver-Christmas/dp/B07WXG5L7N/ref=sr_1_5?dchild=1&keywords=tools&qid=1606148516&sr=8-5,1371,https://images-na.ssl-images-amazon.com/images/I/713KeK4iG6L._AC_SY355_.jpg,https://www.amazon.com//s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Desuccus,In Stock.
"DEWALT Mechanics Tool Set, 205-Piece (DWMT81534)",127.49,4.8,https://www.amazon.com//DEWALT-DWMT81534-205Pc-Mechanics-Tool/dp/B0767NGBP8/ref=sr_1_6?dchild=1&keywords=tools&qid=1606148516&sr=8-6,3217,https://images-na.ssl-images-amazon.com/images/I/91RRLv1XF9L._AC_SX355_.jpg,https://www.amazon.com//stores/DEWALT/page/69079407-0204-4E31-BC82-4014894B3667?ref_=ast_bln,In Stock.
"DEKOPRO 168 Piece Tool Set General Household and measure Tape Rule & Plastic Toolbox Storage Case Tool Kit with Rip Claw Hammer,Lineman's Plier",64.99,4.8,https://www.amazon.com//DEKOPRO-General-Household-measure-Linemans/dp/B089LK8N3V/ref=sr_1_7?dchild=1&keywords=tools&qid=1606148516&sr=8-7,11,https://images-na.ssl-images-amazon.com/images/I/81FHwGluG9L._AC_SY355_.jpg,https://www.amazon.com//stores/DEKOPRO/page/2707240B-49C2-432C-B9EB-4116E161AC1C?ref_=ast_bln,In Stock.
WORX WX081L ZipSnip Cutting Tool,36.9,4.5,https://www.amazon.com//WORX-WX081L-ZipSnip-Cutting-Tool/dp/B019CSHSW8/ref=sr_1_8?dchild=1&keywords=tools&qid=1606148516&sr=8-8,3070,None,None,None
"Contour Gauge Duplicator with Lock, GOXAWEE Widen Shape Duplication Gauge Tool 5”& 10”, 2 Pack Master Outline Measuring Plastic Ruler for Corners, Woodworking Templates, Tiles and Laminate (Orange)",28.99,4.3,https://www.amazon.com//Duplicator-GOXAWEE-Duplication-Measuring-Woodworking/dp/B083PSVB6X/ref=sr_1_9?dchild=1&keywords=tools&qid=1606148516&sr=8-9,3026,https://images-na.ssl-images-amazon.com/images/I/71SaLxU5qoL._AC_SY355_.jpg,https://www.amazon.com//stores/GOXAWEE/page/29628087-62C7-4291-BEE1-F4066E5E21C5?ref_=ast_bln,In Stock.
"DEWALT 20V MAX Cordless Drill Combo Kit, 2-Tool (DCK240C2)",159.0,4.8,https://www.amazon.com//DEWALT-DCK240C2-Lithium-Driver-Impact/dp/B00IJ0ALYS/ref=sr_1_10?dchild=1&keywords=tools&qid=1606148516&sr=8-10,14457,https://images-na.ssl-images-amazon.com/images/I/81w5N4eBHeL._AC_SY355_.jpg,https://www.amazon.com//stores/DEWALT/page/69079407-0204-4E31-BC82-4014894B3667?ref_=ast_bln,In Stock.
